,id,title,release_year,runtime,budget,revenue,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8
44,577,To Die For,1995,106,20000000,21284514,6.7,177,Fantasy,Drama,Comedy,Thriller,,,,
45,11861,How To Make An American Quilt,1995,116,10000000,23574130,6.5,38,Drama,Romance,,,,,,
46,807,Se7en,1995,127,33000000,327311859,8.1,5915,Crime,Mystery,Thriller,,,,,
47,10530,Pocahontas,1995,81,55000000,346079773,6.7,1509,Adventure,Animation,Drama,Family,,,,
48,8391,When Night Is Falling,1995,96,0,0,5.9,10,Drama,Romance,,,,,,
49,629,The Usual Suspects,1995,106,6000000,23341568,8.1,3334,Drama,Crime,Thriller,,,,,
50,117164,Guardian Angel,1994,93,0,0,6.3,3,Action,Thriller,Drama,,,,,
51,11448,Mighty Aphrodite,1995,95,15000000,6700000,6.7,145,Comedy,Romance,,,,,,
52,49133,Lamerica,1994,116,0,0,7.7,11,Drama,Foreign,,,,,,
53,26441,The Big Green,1995,100,0,0,5.2,41,Action,Adventure,Comedy,Family,,,,
54,97406,Georgia,1995,115,0,0,6.1,15,Drama,,,,,,,
55,124057,Kids of the Round Table,1997,89,0,0,3.0,1,,,,,,,,
56,9089,Home for the Holidays,1995,103,0,17519169,6.3,39,Comedy,Drama,Romance,,,,,
57,11010,The Postman,1994,108,0,0,7.6,181,Comedy,Drama,Romance,,,,,
58,99040,The Confessional,1995,100,0,0,6.5,2,Thriller,Drama,Mystery,,,,,
59,11359,The Indian in the Cupboard,1995,96,45000000,0,5.9,136,Adventure,Family,Fantasy,,,,,
60,17182,Eye for an Eye,1996,101,20000000,0,5.8,65,Drama,Thriller,,,,,,
61,2054,Mr. Holland's Opus,1995,137,0,106269971,6.9,115,Music,Drama,Family,,,,,
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,89,0,0,6.2,192,Comedy,,,,,,,
63,19760,Two If by Sea,1996,96,0,0,4.5,14,Comedy,Romance,,,,,,
64,9536,Bio-Dome,1996,88,15000000,0,4.4,110,Comedy,,,,,,,
65,11525,Lawnmower Man 2: Beyond Cyberspace,1996,92,0,2409225,2.8,32,Action,Science Fiction,,,,,,
66,40628,Two Bits,1995,85,0,0,5.4,11,Drama,Family,,,,,,
67,4482,French Twist,1995,95,0,0,6.0,43,Comedy,Romance,,,,,,
68,10634,Friday,1995,91,3500000,28215918,7.0,513,Comedy,,,,,,,
69,755,From Dusk Till Dawn,1996,108,19000000,25836616,6.9,1644,Horror,Action,Thriller,Crime,,,,
70,11859,Fair Game,1995,91,50000000,11534477,4.1,54,Action,Thriller,Romance,,,,,
71,28387,Kicking and Screaming,1995,96,0,718490,7.0,36,Comedy,Drama,Romance,,,,,
72,48750,Les Miserables,1995,175,0,0,6.6,8,Drama,History,,,,,,
73,20927,Bed of Roses,1996,87,0,19030691,5.1,27,Drama,Romance,,,,,,
74,36929,Big Bully,1996,90,15000000,2042530,3.9,16,Comedy,Family,,,,,,
75,9102,Screamers,1995,108,20000000,5781885,6.1,154,Horror,Science Fiction,,,,,,
76,124626,Nico Icon,1995,70,0,0,7.3,3,Documentary,,,,,,,
77,27526,The Crossing Guard,1995,111,0,0,6.1,74,Drama,Thriller,,,,,,
78,9623,The Juror,1996,118,44000000,0,5.5,91,Drama,Thriller,,,,,,
79,46785,The White Balloon,1995,85,0,0,7.5,20,Family,Drama,,,,,,
80,400,Things to Do in Denver When You're Dead,1995,116,8000000,529766,6.7,87,Drama,Crime,,,,,,
81,880,Antonia's Line,1995,102,900000,0,7.2,26,Drama,Comedy,,,,,,
82,146599,Once Upon a Time... When We Were Colored,1996,115,0,0,4.5,2,Romance,Drama,,,,,,
83,188588,Last Summer in the Hamptons,1995,108,0,0,0.0,0,,,,,,,,
84,8447,Angels and Insects,1995,118,0,0,6.3,17,Drama,Romance,,,,,,
85,10534,White Squall,1996,129,38000000,10300000,6.3,86,Action,Drama,,,,,,
86,17414,Dunston Checks In,1996,88,16000000,0,5.1,59,Adventure,Comedy,Family,,,,,
87,13997,Black Sheep,1996,87,0,32,6.0,124,Comedy,,,,,,,
88,2086,Nick of Time,1995,90,8169363,8175346,6.1,190,Crime,Drama,Thriller,,,,,
89,61548,The Journey of August King,1995,91,0,0,6.7,3,Drama,,,,,,,
90,9095,Mary Reilly,1996,104,47000000,12379402,5.7,77,Drama,Horror,Thriller,Romance,,,,
91,12158,Vampire in Brooklyn,1995,100,14000000,19800000,4.5,113,Comedy,Horror,Romance,,,,,
92,9283,Beautiful Girls,1996,112,0,0,6.6,103,Comedy,Drama,Romance,,,,,
93,9208,Broken Arrow,1996,108,50000000,150270147,5.7,459,Action,Adventure,Drama,Thriller,,,,
94,40154,A Midwinter's Tale,1995,99,0,0,7.5,6,Comedy,,,,,,,
95,406,La Haine,1995,98,3000000,0,7.9,695,Drama,,,,,,,
96,45549,Shopping,1994,105,0,0,5.6,13,Action,Adventure,Drama,Science Fiction,Thriller,,,
97,63076,Heidi Fleiss: Hollywood Madam,1995,106,0,0,6.8,4,Documentary,,,,,,,
98,11062,City Hall,1996,111,0,0,6.0,67,Drama,Thriller,,,,,,
99,13685,Bottle Rocket,1996,91,7000000,560069,6.8,285,Comedy,Crime,Drama,,,,,
100,47475,Mr. Wrong,1996,96,0,0,3.3,16,Comedy,Romance,,,,,,
101,2045,Unforgettable,1996,106,18000000,0,5.3,22,Drama,Mystery,Science Fiction,Thriller,,,,
102,9614,Happy Gilmore,1996,92,12000000,41205099,6.5,767,Comedy,,,,,,,
103,688,The Bridges of Madison County,1995,135,24000000,182016617,7.3,397,Drama,Romance,,,,,,
104,11907,Nobody Loves Me,1994,104,0,0,5.1,5,Drama,Comedy,Family,,,,,
105,10874,Muppet Treasure Island,1996,100,0,34327391,6.5,93,Action,Comedy,Music,Family,Adventure,,,
106,89333,Catwalk,1995,95,0,0,7.0,2,Documentary,,,,,,,
107,96357,Headless Body in Topless Bar,1995,110,0,0,0.0,0,Crime,,,,,,,
108,197,Braveheart,1995,177,72000000,210000000,7.7,3404,Action,Drama,History,War,,,,
110,33542,Rumble in the Bronx,1995,91,7500000,32392047,6.5,245,Crime,Action,Comedy,Thriller,,,,
111,43566,Before and After,1996,108,35000000,0,5.8,37,Drama,Thriller,,,,,,
112,71754,Margaret's Museum,1995,114,0,0,7.5,2,Drama,,,,,,,
113,43612,Happiness Is in the Field,1995,106,13365000,0,7.0,23,Comedy,,,,,,,
114,51352,Anne Frank Remembered,1995,117,0,1,7.3,4,Documentary,Drama,Foreign,,,,,
115,16934,The Young Poisoner's Handbook,1995,99,0,0,6.9,19,Comedy,Crime,Drama,,,,,
116,10324,If Lucy Fell,1996,92,0,0,5.4,11,Comedy,Romance,,,,,,
117,78406,Steal Big Steal Little,1995,113,25000000,6278139,5.1,7,Comedy,Drama,,,,,,
118,55731,Race the Sun,1996,100,0,0,5.2,21,Action,Adventure,Comedy,Drama,Family,,,
119,32119,The Boys of St. Vincent,1992,90,0,0,7.0,7,Drama,,,,,,,
120,11066,Boomerang,1992,117,40000000,70100000,5.4,139,Comedy,Romance,,,,,,
121,11104,Chungking Express,1994,102,0,0,7.9,249,Drama,Comedy,Romance,,,,,
122,37975,The Star Maker,1995,113,0,0,6.8,29,Drama,Romance,,,,,,
123,2074,Flirting with Disaster,1996,92,7000000,14702438,6.3,66,Comedy,Romance,,,,,,
124,27793,The Neverending Story III: Escape from Fantasia,1994,95,17000000,0,4.4,105,Fantasy,,,,,,,
125,44284,The Silences of the Palace,1994,116,0,0,4.3,3,Drama,,,,,,,
126,290157,Jupiter's Wife,1995,87,0,0,0.0,0,,,,,,,,
127,110972,Pie in the Sky,1996,95,0,0,7.0,2,Comedy,Romance,,,,,,
128,32622,Angela,1995,99,0,0,5.6,9,Comedy,Drama,,,,,,
129,73067,Frankie Starlight,1995,101,0,0,5.4,4,Drama,Romance,War,,,,,
130,11863,Jade,1995,95,50000000,9851610,5.1,45,Action,Thriller,Mystery,Romance,,,,
131,55475,Nueba Yol,1995,102,0,0,5.5,1,Comedy,Drama,Romance,,,,,
132,124636,Sonic Outlaws,1995,87,0,0,0.0,0,Music,Documentary,,,,,,
133,9101,Down Periscope,1996,92,0,0,5.6,110,Comedy,,,,,,,
134,123360,From the Journals of Jean Seberg,1995,97,0,0,6.5,2,Documentary,,,,,,,
135,5757,Man of the Year,1995,86,0,209935,3.8,2,Comedy,,,,,,,
136,39428,The Neon Bible,1995,91,0,0,7.2,5,Drama,,,,,,,
137,124639,Target,1995,122,0,0,0.0,0,,,,,,,,
138,9302,Up Close & Personal,1996,119,60000000,0,5.9,51,Drama,Romance,,,,,,
139,11000,The Birdcage,1996,117,31000000,185260553,6.7,303,Comedy,,,,,,,
140,249882,Virgin Mary,1995,125,0,0,7.0,2,Drama,,,,,,,
141,16388,The Brothers McMullen,1995,98,0,0,6.3,23,Comedy,Drama,Romance,,,,,
142,9737,Bad Boys,1995,118,19000000,141407024,6.5,1729,Action,Comedy,Crime,Thriller,,,,
143,30765,The Amazing Panda Adventure,1995,81,0,0,5.0,31,Action,Adventure,Drama,Family,,,,
144,10474,The Basketball Diaries,1995,102,0,0,7.2,472,Drama,Crime,,,,,,
145,22279,An Awfully Big Adventure,1995,113,4000000,851545,6.0,11,Romance,Drama,Comedy,,,,,
146,30157,Amateur,1994,105,0,0,6.5,21,Crime,Comedy,Drama,Thriller,,,,
147,568,Apollo 13,1995,140,52000000,355237933,7.3,1637,Drama,,,,,,,
148,11780,Rob Roy,1995,139,28000000,31596911,6.5,151,Adventure,,,,,,,
149,34996,The Addiction,1995,82,0,0,6.4,46,Drama,Horror,,,,,,
150,414,Batman Forever,1995,121,100000000,336529144,5.2,1529,Action,Crime,Fantasy,,,,,
152,1873,Beyond Rangoon,1995,100,0,0,6.4,21,Drama,Thriller,,,,,,
153,5894,Blue in the Face,1995,83,2000000,1275000,6.8,28,Comedy,,,,,,,
154,1775,Canadian Bacon,1995,91,11000000,178104,5.9,57,Action,Comedy,,,,,,
155,8839,Casper,1995,100,50000000,287928194,6.0,1045,Fantasy,Comedy,Family,,,,,
156,20649,Clockers,1995,128,25000000,13071518,6.8,69,Mystery,Crime,Drama,,,,,
157,10329,Congo,1995,109,50000000,152022101,5.0,214,Action,Adventure,Drama,Mystery,Science Fiction,Thriller,,
158,8963,Crimson Tide,1995,116,53000000,157387195,7.0,508,Action,Thriller,Drama,,,,,
159,26564,Crumb,1994,119,0,3174695,7.6,71,Documentary,,,,,,,
160,8068,Desperado,1995,104,7000000,25405445,6.8,898,Thriller,Action,Crime,,,,,
161,8512,Devil in a Blue Dress,1995,102,27000000,16140822,6.3,88,Drama,Mystery,Thriller,,,,,
162,1572,Die Hard: With a Vengeance,1995,128,90000000,366101666,6.9,2094,Action,Thriller,,,,,,
163,13552,The Doom Generation,1995,80,0,0,5.6,57,Action,Comedy,Crime,Drama,,,,
164,259209,Feast of July,1995,116,0,0,0.0,0,Drama,Crime,,,,,,
165,6520,First Knight,1995,134,55000000,127600435,5.9,319,Action,Adventure,Drama,Romance,,,,
166,9073,Free Willy 2 - The Adventure Home,1995,95,0,0,5.5,130,Adventure,,,,,,,
167,10428,Hackers,1995,107,20000000,7563728,6.2,406,Action,Crime,Thriller,Drama,,,,
168,17447,Jeffrey,1995,92,0,0,6.5,19,Comedy,Drama,Romance,,,,,
169,9886,Johnny Mnemonic,1995,97,25000000,19075720,5.5,380,Adventure,Action,Drama,Science Fiction,Thriller,,,
170,9482,Judge Dredd,1995,96,90000000,113493481,5.4,643,Science Fiction,,,,,,,
171,19326,Jury Duty,1995,88,0,17014653,4.0,34,Comedy,Drama,,,,,,
172,9344,Kids,1995,91,1500000,7412216,6.8,280,Drama,Crime,,,,,,
173,9071,Living in Oblivion,1995,89,500000,1148752,7.2,64,Drama,Comedy,,,,,,
174,8973,Lord of Illusions,1995,119,0,0,5.9,87,Mystery,Horror,Thriller,,,,,
175,15730,Love & Human Remains,1993,100,0,0,7.0,7,Comedy,Drama,,,,,,
176,47608,Mad Love,1995,95,0,15453274,5.5,27,Drama,Family,Romance,,,,,
177,2293,Mallrats,1995,94,6000000,2122561,6.8,400,Romance,Comedy,,,,,,
178,9070,Mighty Morphin Power Rangers: The Movie,1995,92,15000000,66000000,5.2,153,Action,Adventure,Science Fiction,Family,Fantasy,,,
179,68274,Moonlight and Valentino,1995,100,0,0,5.6,10,Comedy,Drama,Romance,,,,,
180,48787,Mute Witness,1995,95,2,1,6.4,36,Thriller,Foreign,,,,,,
181,34574,Nadja,1994,93,0,0,5.9,12,Horror,Thriller,,,,,,
182,1642,The Net,1995,114,22000000,110627965,5.6,359,Crime,Drama,Mystery,Thriller,Action,,,
183,11472,Nine Months,1995,103,0,69660733,5.5,171,Comedy,,,,,,,
184,36196,Party Girl,1995,94,150000,472370,5.8,14,Comedy,,,,,,,
185,11980,The Prophecy,1995,98,8,16,6.4,139,Fantasy,Horror,Thriller,,,,,
186,58372,Reckless,1995,91,0,0,10.0,1,Fantasy,Comedy,Drama,,,,,
187,32646,Safe,1995,119,0,0,7.2,62,Drama,,,,,,,
188,10533,The Scarlet Letter,1995,135,50000000,10382407,5.5,111,Drama,History,Romance,,,,,
189,56088,The Show,1995,93,0,0,5.3,2,Documentary,,,,,,,
190,10802,Showgirls,1995,128,45000000,20350754,4.9,261,Drama,,,,,,,
191,10149,Smoke,1995,112,7000000,8349430,7.2,115,Comedy,Drama,,,,,,
192,18402,Something to Talk About,1995,106,0,50892160,5.7,60,Comedy,,,,,,,
193,9348,Species,1995,108,35000000,113374103,5.5,457,Science Fiction,Horror,Action,,,,,
194,139408,The Stars Fell on Henrietta,1995,109,0,0,6.6,6,Drama,,,,,,,
195,281,Strange Days,1995,145,42000000,7959291,6.8,334,Crime,Drama,Science Fiction,Thriller,,,,
197,79593,The Tie That Binds,1995,99,14000000,5780000,4.6,9,Thriller,,,,,,,
198,47939,Three Wishes,1995,115,0,7025496,6.1,18,Drama,Fantasy,,,,,,
199,36834,Total Eclipse,1995,111,0,339889,6.5,112,Drama,Romance,,,,,,
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,105,0,47774193,6.3,117,Comedy,,,,,,,
201,3512,Under Siege 2: Dark Territory,1995,100,60000000,104324083,5.6,217,Action,Thriller,,,,,,
202,52856,Unstrung Heroes,1995,93,0,0,6.4,9,Comedy,Drama,Family,,,,,
203,77350,Unzipped,1995,73,0,0,6.0,6,Documentary,,,,,,,
204,9560,A Walk in the Clouds,1995,103,20000000,50012507,6.5,168,Drama,Romance,,,,,,
205,9804,Waterworld,1995,135,175000000,264218220,5.9,1017,Adventure,Action,,,,,,
206,31611,White Man's Burden,1995,89,8000000,0,5.1,25,Drama,,,,,,,
207,65796,Wild Bill,1995,98,30000000,0,5.9,27,Action,Western,,,,,,
208,49805,The Browning Version,1994,97,0,0,6.0,11,Drama,,,,,,,
209,26258,Bushwhacked,1995,90,0,0,4.9,29,Adventure,Action,Comedy,Crime,Family,,,
210,50797,Burnt by the Sun,1994,135,2800000,2616503,6.7,35,Drama,,,,,,,
211,19155,Before the Rain,1994,113,0,763847,7.7,45,Drama,War,,,,,,
212,76,Before Sunrise,1995,105,2500000,5535405,7.7,984,Drama,Romance,,,,,,
213,11017,Billy Madison,1995,89,10000000,26488734,6.2,464,Comedy,,,,,,,
214,37141,The Babysitter,1995,90,0,0,4.7,27,Drama,Thriller,,,,,,
215,9382,Boys on the Side,1995,115,21000000,23450000,6.3,48,Comedy,Drama,,,,,,
216,6715,The Cure,1995,97,0,0,7.2,58,Drama,Family,,,,,,
217,18256,Castle Freak,1995,95,0,0,5.8,40,Thriller,Drama,Horror,Mystery,,,,
218,22625,Circle of Friends,1995,103,0,0,6.5,30,Drama,Family,Romance,,,,,
219,2292,Clerks,1994,92,27000,3151130,7.4,769,Comedy,,,,,,,
220,1909,Don Juan DeMarco,1994,97,25000000,22200000,6.3,184,Romance,Drama,Comedy,,,,,
221,8984,Disclosure,1994,123,55000000,214015089,5.9,217,Drama,Thriller,Crime,Mystery,Romance,,,
222,61813,Dream Man,1995,0,0,0,2.5,1,Thriller,,,,,,,
223,4954,Drop Zone,1994,101,45000000,0,5.1,91,Action,Adventure,Thriller,,,,,
224,62488,Destiny Turns on the Radio,1995,0,0,0,5.3,9,Crime,Comedy,Fantasy,,,,,
225,10531,Death and the Maiden,1994,103,0,0,7.1,92,Drama,Thriller,Mystery,,,,,
226,11929,Dolores Claiborne,1995,132,0,0,7.1,183,Crime,Drama,Mystery,,,,,
227,8467,Dumb and Dumber,1994,107,16000000,247275374,6.5,1894,Comedy,,,,,,,
228,10451,Eat Drink Man Woman,1994,123,0,7294403,7.5,76,Comedy,Drama,Romance,,,,,
229,20156,Exotica,1994,103,0,0,6.5,64,Drama,Mystery,,,,,,
230,18395,Exit to Eden,1994,113,0,6841570,4.3,28,Thriller,Comedy,Crime,Romance,,,,
231,522,Ed Wood,1994,127,18000000,5887457,7.3,639,Comedy,Drama,History,,,,,
232,397,French Kiss,1995,111,0,0,6.2,179,Comedy,Romance,,,,,,
233,10525,Forget Paris,1995,101,0,0,6.1,38,Comedy,Drama,Romance,,,,,
234,27985,Far from Home: The Adventures of Yellow Dog,1995,87,0,0,5.6,27,Action,Adventure,Drama,Family,,,,
235,15789,A Goofy Movie,1995,78,0,35348597,6.7,404,Romance,Animation,Family,Comedy,Adventure,,,
236,27303,Hideaway,1995,103,15000000,12201255,5.0,24,Drama,Thriller,,,,,,
237,21183,Fluke,1995,96,0,0,6.6,48,Drama,Family,Fantasy,,,,,
238,10954,Farinelli,1994,111,0,0,5.9,20,History,Drama,,,,,,
239,47867,Gordy,1995,90,0,3992809,3.0,4,Drama,Family,Fantasy,,,,,
240,43475,Gumby: The Movie,1995,77,0,0,5.0,2,Fantasy,Animation,Science Fiction,Family,,,,
241,72031,The Glass Shield,1994,109,0,0,5.4,9,Drama,Action,Thriller,Crime,,,,
242,14275,Hoop Dreams,1994,171,700000,7830611,7.7,91,Documentary,,,,,,,
243,1024,Heavenly Creatures,1994,99,5000000,3049135,6.9,299,Drama,Fantasy,,,,,,
244,17207,Houseguest,1995,113,10500000,26325256,6.0,17,Comedy,Family,,,,,,
245,13701,Immortal Beloved,1994,121,120,0,6.9,90,Drama,Music,Romance,,,,,
246,14819,Heavyweights,1995,100,0,17689177,6.0,97,Comedy,Family,Drama,,,,,
247,32631,The Hunted,1995,106,0,0,6.0,25,Action,Thriller,,,,,,
248,11777,I.Q.,1994,100,25000000,0,5.9,112,Comedy,Drama,Romance,,,,,
249,628,Interview with the Vampire,1994,123,60000000,223664608,7.2,1558,Horror,Romance,,,,,,
250,87729,Jefferson in Paris,1995,139,14000000,2474000,5.2,10,Drama,Romance,,,,,,
251,18713,The Jerky Boys,1995,82,0,0,4.8,10,Comedy,Crime,,,,,,
252,6280,Junior,1994,109,60000000,37000000,4.7,381,Comedy,Family,Romance,,,,,
253,9061,Just Cause,1995,102,0,0,6.0,124,Action,Drama,Mystery,Thriller,,,,
254,37108,A Kid in King Arthur's Court,1995,89,0,0,4.3,40,Adventure,Fantasy,Comedy,Science Fiction,Family,,,
255,6071,Kiss of Death,1995,101,40000000,0,5.7,83,Action,Crime,Drama,Thriller,,,,
257,9587,Little Women,1994,115,18000000,0,7.0,222,Drama,Romance,,,,,,
258,19101,A Little Princess,1995,97,17000000,0,7.4,207,Drama,Family,Fantasy,,,,,
259,49980,Ladybird Ladybird,1994,101,0,0,7.4,14,Drama,,,,,,,
260,17961,L'Enfer,1994,100,10000000,0,6.6,22,Crime,Drama,,,,,,
261,18183,Like Water for Chocolate,1992,105,2000000,21665468,6.6,70,Drama,Romance,,,,,,
262,4476,Legends of the Fall,1994,133,30000000,160638883,7.2,636,Adventure,Drama,Romance,War,,,,
263,11008,Major Payne,1995,95,0,0,6.1,164,Adventure,Comedy,Family,,,,,
264,47504,Little Odessa,1994,98,0,0,6.4,31,Action,Drama,,,,,,
265,32325,Mi Vida Loca,1994,92,0,0,5.7,9,Crime,Drama,,,,,,
266,43742,Love Affair,1994,108,60000000,0,4.3,11,Drama,Romance,,,,,,
267,28313,Losing Isaiah,1995,106,17000000,7603766,6.4,28,Drama,,,,,,,
268,11318,The Madness of King George,1994,107,0,0,6.7,67,Comedy,Drama,History,,,,,
269,3036,Mary Shelley's Frankenstein,1994,123,45000000,112006296,6.1,272,Drama,Horror,Science Fiction,Romance,,,,
270,40490,Man of the House,1995,96,0,0,5.1,40,Action,Comedy,Family,,,,,
271,24070,Mixed Nuts,1994,97,15000000,0,5.2,37,Comedy,Drama,Romance,,,,,
272,8986,Milk Money,1994,108,0,18137661,5.6,49,Comedy,Romance,,,,,,
273,10510,Miracle on 34th Street,1994,114,0,46264384,6.4,199,Fantasy,Drama,Family,,,,,
274,17402,Miami Rhapsody,1995,95,6,5,5.6,7,Comedy,Romance,,,,,,
275,38722,My Family,1995,128,5500000,0,7.0,11,Comedy,Drama,,,,,,
276,8438,Murder in the First,1995,122,0,17381942,6.9,140,Crime,Drama,,,,,,
277,11593,Nobody's Fool,1994,110,0,0,7.0,56,Drama,Comedy,,,,,,
278,1945,Nell,1994,112,31000000,106683817,6.1,128,Drama,Thriller,,,,,,
279,39310,New Jersey Drive,1995,98,0,0,6.9,7,Crime,Drama,,,,,,
280,109560,New York Cop,1993,93,0,0,0.0,0,Action,Thriller,Crime,Drama,,,,
281,56428,Beyond Bedlam,1994,89,4800000,0,4.0,4,Horror,,,,,,,
282,63105,Nemesis 2 - Nebula,1995,83,0,0,4.6,10,Science Fiction,Action,Thriller,,,,,
283,131957,Nina Takes a Lover,1995,100,0,0,7.4,4,Drama,Romance,,,,,,
284,241,Natural Born Killers,1994,119,34000000,50282766,6.9,927,Crime,Thriller,Drama,,,,,
285,9058,Only You,1994,115,0,0,6.4,92,Comedy,Drama,Romance,,,,,
286,527,Once Were Warriors,1994,99,0,2201126,7.6,106,Drama,,,,,,,
287,18220,Poison Ivy II: Lily,1996,106,0,0,4.6,32,Drama,Romance,Thriller,,,,,
288,6950,Outbreak,1995,127,50000000,189859560,6.4,522,Action,Drama,Science Fiction,Thriller,,,,
289,101,Leon: The Professional,1994,110,16000000,45284974,8.2,4293,Thriller,Crime,Drama,,,,,
290,63020,The Perez Family,1995,113,11000000,2832826,6.6,9,Comedy,Drama,Romance,,,,,
291,2307,A Pyromaniac's Love Story,1995,94,0,0,7.0,2,Comedy,Drama,Romance,,,,,
292,680,Pulp Fiction,1994,154,8000000,213928762,8.3,8670,Thriller,Crime,,,,,,
293,41478,Panther,1995,124,0,6834525,6.4,6,Drama,,,,,,,
294,25296,Pushing Hands,1992,105,400000,152322,6.1,9,Comedy,Drama,,,,,,
295,40156,Priest,1994,98,0,4176932,6.4,32,Drama,Romance,,,,,,
296,11450,Quiz Show,1994,133,0,0,7.1,262,History,Drama,,,,,,
297,30304,Picture Bride,1995,94,0,0,7.4,5,Drama,History,,,,,,
298,10452,Queen Margot,1994,162,0,0,7.0,67,Drama,History,,,,,,
299,12106,The Quick and the Dead,1995,107,32000000,18552460,6.2,431,Action,Western,,,,,,
300,161495,Roommates,1995,108,22000000,12400000,6.4,7,Drama,Comedy,,,,,,
301,3586,Prêt-à-Porter,1994,133,15000000,11300653,5.3,33,Drama,Comedy,,,,,,
302,110,Three Colors: Red,1994,99,0,0,7.8,246,Drama,Mystery,Romance,,,,,
303,108,Three Colors: Blue,1993,98,0,0,7.7,311,Drama,Music,Mystery,,,,,
304,109,Three Colors: White,1994,91,0,0,7.3,218,Comedy,Drama,Mystery,,,,,
